times,nn_ft,nf_ft,nn_st,nf_st
0.95,0.9055581818760272,0.12201751717081731,0.00011234458178734505,1.7719672447285912
0.96,0.9383706720327896,0.11223242478590806,0.0002452608038158365,1.7774803407680502
0.97,0.9647692572202495,0.10190300942691626,0.00026036053625572056,1.7796511162374369
0.98,0.9840374801044668,0.09161647315280355,0.0002761977668768935,1.7781891676906554
0.99,0.9957630053444144,0.08174323438756244,0.00029281321984246666,1.77309533077223
1.0,0.9998194932702598,0.07275806965566284,0.00018180486512672398,1.7851234990274873
1.01,0.9957940543283605,0.06492156043147361,0.00028271844503288766,1.811180675405225
1.02,0.9840581609703313,0.05844245337515841,0.00030078435597729057,1.8339911592192095
1.03,0.96478086149502,0.053371209061931595,0.0003198736853884834,1.8530587366768805
1.04,0.938374504832365,0.04980104635690749,0.00034018588270663295,1.8684659771991883
1.05,0.9053973269482415,0.04764985240143966,0.0003613808874487702,1.8799497407706716
1.06,0.8665356292716877,0.04685289402532365,0.0003839040361624818,1.8873959429552738
1.07,0.8225816828442764,0.04737011043658027,0.0004073914774939682,1.8912496339175484
1.08,0.7749338014813957,0.04912575853360505,-0.00016448311797228945,1.891442172164288
1.09,0.7232202353732081,0.052141568968006265,-2.8277046889922718e-5,1.8883365334684998
1.1,0.6694147952360922,0.05627931310456472,-2.7625968948911765e-5,1.882069499270921
1.11,0.6142822587828715,0.06137084237213401,-9.553359809585452e-5,1.8727442420300862
1.12,0.558642205194283,0.06738329396677911,-9.803441189634895e-5,1.8604240756097257
1.13,0.5034249783816706,0.0740855682228507,-0.00010045772389493064,1.8453607684395965
1.14,0.4493457470830652,0.08129430506679243,-7.329666589017121e-7,1.8278927260497184
1.15,0.3972977342010323,0.08863813261745954,1.6773296676213569e-6,1.8091342395480021
1.16,0.34780359547319495,0.09571278854613689,4.363937851473503e-6,1.7986196875343308
1.17,0.30136237223050866,0.10199811633510239,7.102998263433337e-6,1.800454067711197
1.18,0.25835618374869834,0.10707100821653037,1.0388874794402181e-5,1.8006085411601285
1.19,0.21904980230364124,0.11036679270438222,1.4013439344961907e-5,1.7967419421476098
1.2,0.1835945031421445,0.11143689588031226,1.7999682058252327e-5,1.7886260677326604
1.21,0.15196290439009255,0.10994646226967496,-0.00019161427360042094,1.77661770635935
1.22,0.12424673859789159,0.10567640056395958,-0.0002010962844945258,1.7613312269525316
1.23,0.10024332472900702,0.09864983699341358,-0.00021099820334573158,1.7433707289035723
1.24,0.07975001699294745,0.08909285080074822,-0.00022125398034842083,1.723369713280758
1.25,0.06254053521783196,0.07747433318599407,-0.00023349736870793418,1.7020300147001108
1.26,0.04825656568158311,0.06447126265272131,-0.00024402282458580612,1.6800463104663201
1.27,0.036613378565668764,0.05103958074196113,-0.00025491397103284837,1.6664144936842253
1.28,0.027209633100415055,0.03850914398879798,0.0006653279001461897,1.6585097919627716
1.29,0.01987831641879203,0.027233720030052044,0.0006817948412747536,1.6513387745708241
1.3,0.014219636349173927,0.01866395493846839,0.0006984382520515213,1.6445191660372
1.31,0.009941420779757565,0.01371824666596442,0.0007152529246503997,1.638076941593638
1.32,0.006778384281482441,0.013118106294555551,0.0007322367869261571,1.6319842780991594
1.33,0.004495996244055254,0.017362662056833508,0.0007493813784669874,1.6257703056316952
1.34,0.002892348226695408,0.02657702475928497,0.0007666807312875823,1.6192490733143454
1.35,0.001798251433981268,0.04054837188370405,0.0007841286691397034,1.612103253050995
1.36,0.00107585260612905,0.058744884745368764,0.0008020239068829365,1.6042316356547044
1.37,0.0006161423799143423,0.08029066651945535,0.0008197585534421021,1.5949805841068359
1.38,0.00033788570387539575,0.10400627347888833,0.0011415774735689655,1.584219876596799
1.39,0.00017437331217621787,0.12865193408076678,0.0011725714700168595,1.5720768095499054
1.4,8.429185445286546e-5,0.15291778121468513,0.001204127388480047,1.5631480887707752
1.41,3.778490077476325e-5,0.17553361376954071,0.0012366909060640336,1.5592152917728166
1.42,1.556179987437868e-5,0.19521841800361858,0.0012686038677277834,1.552170463085591
1.43,6.115956461196468e-6,0.2112202288257985,6.356711229527597e-5,1.548272268011846
1.44,1.508262882168277e-6,0.22264176630417934,0.00042271917090485635,1.550113499975763
